Day,Date,Time,Junction,Speed
Friday,10/2/2023,6:00,J48-J47,60
Friday,10/2/2023,6:00,J47-J46,62
Friday,10/2/2023,6:00,J46-J45,60
Friday,10/2/2023,6:00,J45-J43|44,62
Friday,10/2/2023,6:00,J43|44 - J42,62
Friday,10/2/2023,6:00,J42-J41,61
Friday,10/2/2023,6:00,J41-J40,64
Friday,10/2/2023,6:00,J40-J39,63
Friday,10/2/2023,6:00,J39-J38,59
Friday,10/2/2023,6:00,J38-J37,65
Friday,10/2/2023,6:00,J37-J36,61
Friday,10/2/2023,6:00,J36-J35A,61
Friday,10/2/2023,6:00,J35A-J35,65
Friday,10/2/2023,6:00,J35-J34,65
Friday,10/2/2023,6:00,J34-J33,60
Friday,10/2/2023,6:00,J33-J32,61
Friday,10/2/2023,6:00,J32-J31,65
Friday,10/2/2023,6:00,J31-J30,61
Friday,10/2/2023,6:00,J30-J29A,65
Friday,10/2/2023,6:00,J29A-J29,60
Friday,10/2/2023,6:00,J29-J28,63
Friday,10/2/2023,6:00,J28-J27,55
Friday,10/2/2023,6:00,J27-J26,61
Friday,10/2/2023,6:00,J26-J25,60
Friday,10/2/2023,6:00,J25-J24A,62
Friday,10/2/2023,6:00,J24A-J24,64
Friday,10/2/2023,6:00,J24-J23A,61
Friday,10/2/2023,6:00,J23A-J23,64
Friday,10/2/2023,6:00,J23-J22,60
Friday,10/2/2023,6:00,J22-J21A,64
Friday,10/2/2023,6:00,J21A-J21,61
Friday,10/2/2023,6:00,J21-J20,60
Friday,10/2/2023,6:00,J20-J19,63
Friday,10/2/2023,6:00,J19-J18,61
Friday,10/2/2023,6:00,J18-J17,62
Friday,10/2/2023,6:00,J17-J16,62
Friday,10/2/2023,6:00,J16-J15A,60
Friday,10/2/2023,6:00,J15A-J15,60
Friday,10/2/2023,6:00,J15-J14,60
Friday,10/2/2023,6:00,J14-J13,63
Friday,10/2/2023,6:00,J13-J12,61
Friday,10/2/2023,6:00,J12-J11A,60
Friday,10/2/2023,6:00,J11A-J11,62
Friday,10/2/2023,6:00,J11-J10,63
Friday,10/2/2023,6:00,J10-J9,60
Friday,10/2/2023,6:00,J9-J8,63
Friday,10/2/2023,6:00,J8-J7,60
Friday,10/2/2023,6:00,J7-J6A,59
Friday,10/2/2023,6:00,J6A-J6,65
Friday,10/2/2023,6:00,J6-J5,60
Friday,10/2/2023,6:00,J5-J4,61
Friday,10/2/2023,6:00,J4-J2,65
Friday,10/2/2023,6:00,J2-J1,62
Saturday,11/2/2023,6:00,J48-J47,70
Saturday,11/2/2023,6:00,J47-J46,70
Saturday,11/2/2023,6:00,J46-J45,70
Saturday,11/2/2023,6:00,J45-J43|44,58
Saturday,11/2/2023,6:00,J43|44 - J42,63
Saturday,11/2/2023,6:00,J42-J41,61
Saturday,11/2/2023,6:00,J41-J40,65
Saturday,11/2/2023,6:00,J40-J39,65
Saturday,11/2/2023,6:00,J39-J38,66
Saturday,11/2/2023,6:00,J38-J37,66
Saturday,11/2/2023,6:00,J37-J36,68
Saturday,11/2/2023,6:00,J36-J35A,68
Saturday,11/2/2023,6:00,J35A-J35,63
Saturday,11/2/2023,6:00,J35-J34,64
Saturday,11/2/2023,6:00,J34-J33,61
Saturday,11/2/2023,6:00,J33-J32,65
Saturday,11/2/2023,6:00,J32-J31,64
Saturday,11/2/2023,6:00,J31-J30,63
Saturday,11/2/2023,6:00,J30-J29A,64
Saturday,11/2/2023,6:00,J29A-J29,65
Saturday,11/2/2023,6:00,J29-J28,66
Saturday,11/2/2023,6:00,J28-J27,67
Saturday,11/2/2023,6:00,J27-J26,63
Saturday,11/2/2023,6:00,J26-J25,65
Saturday,11/2/2023,6:00,J25-J24A,66
Saturday,11/2/2023,6:00,J24A-J24,70
Saturday,11/2/2023,6:00,J24-J23A,67
Saturday,11/2/2023,6:00,J23A-J23,67
Saturday,11/2/2023,6:00,J23-J22,70
Saturday,11/2/2023,6:00,J22-J21A,65
Saturday,11/2/2023,6:00,J21A-J21,62
Saturday,11/2/2023,6:00,J21-J20,67
Saturday,11/2/2023,6:00,J20-J19,68
Saturday,11/2/2023,6:00,J19-J18,70
Saturday,11/2/2023,6:00,J18-J17,67
Saturday,11/2/2023,6:00,J17-J16,66
Saturday,11/2/2023,6:00,J16-J15A,70
Saturday,11/2/2023,6:00,J15A-J15,68
Saturday,11/2/2023,6:00,J15-J14,70
Saturday,11/2/2023,6:00,J14-J13,63
Saturday,11/2/2023,6:00,J13-J12,70
Saturday,11/2/2023,6:00,J12-J11A,70
Saturday,11/2/2023,6:00,J11A-J11,68
Saturday,11/2/2023,6:00,J11-J10,68
Saturday,11/2/2023,6:00,J10-J9,70
Saturday,11/2/2023,6:00,J9-J8,68
Saturday,11/2/2023,6:00,J8-J7,69
Saturday,11/2/2023,6:00,J7-J6A,68
Saturday,11/2/2023,6:00,J6A-J6,66
Saturday,11/2/2023,6:00,J6-J5,70
Saturday,11/2/2023,6:00,J5-J4,70
Saturday,11/2/2023,6:00,J4-J2,68
Saturday,11/2/2023,6:00,J2-J1,61
Sunday,12/2/2023,6:00,J48-J47,65
Sunday,12/2/2023,6:00,J47-J46,67
Sunday,12/2/2023,6:00,J46-J45,70
Sunday,12/2/2023,6:00,J45-J43|44,58
Sunday,12/2/2023,6:00,J43|44 - J42,62
Sunday,12/2/2023,6:00,J42-J41,62
Sunday,12/2/2023,6:00,J41-J40,68
Sunday,12/2/2023,6:00,J40-J39,69
Sunday,12/2/2023,6:00,J39-J38,68
Sunday,12/2/2023,6:00,J38-J37,60
Sunday,12/2/2023,6:00,J37-J36,63
Sunday,12/2/2023,6:00,J36-J35A,63
Sunday,12/2/2023,6:00,J35A-J35,65
Sunday,12/2/2023,6:00,J35-J34,62
Sunday,12/2/2023,6:00,J34-J33,60
Sunday,12/2/2023,6:00,J33-J32,61
Sunday,12/2/2023,6:00,J32-J31,68
Sunday,12/2/2023,6:00,J31-J30,70
Sunday,12/2/2023,6:00,J30-J29A,70
Sunday,12/2/2023,6:00,J29A-J29,70
Sunday,12/2/2023,6:00,J29-J28,68
Sunday,12/2/2023,6:00,J28-J27,62
Sunday,12/2/2023,6:00,J27-J26,64
Sunday,12/2/2023,6:00,J26-J25,64
Sunday,12/2/2023,6:00,J25-J24A,65
